ssn,name,addr,phone,city,state,zip5
33333389,Alfred             Robert           Johnson,17944 65th Street NE,425-602-4260,Seattle,WA,98052
387398798,Andre           Hayes,3495 Piedmont Road North East,+1(425)-602-4260,Atlanta,GA,30305
276837933,Annika                   Larsson,1531 Stout Street,+++1(425)-602-4260,Denver,CA,80202
222222222,                    Arthur Nelson,3650 Claypond Road,803-744-0150,Myrtle Beach,SC,29579
443151056,               Bob Schmit,,,,,
345387290,Bob Simpson                    ,655 Landau Drive,,,MN,55125
564747474,Bobby Robert Simpson,655 Landau Dr,,Woodbury,MN,55125
282982829,James Smith,1008 Avenue of the Americas,212-755-2551,New York,NY,10022
823927387,James       mo  Smith,2002 Pisgah Church Rd,910-545-2157,Greensboro,NC,
227668290,Jill Robert Goradesky,10440 North Central,972-583-2312,Dallas,TX,75231
829637549,Jim Smith,1008 Avenue of the Americas,212-755-2551,New York,NY,10022
782978245,Mary Smith,2002 Pisgah Church Rd,910-545-2157,Greensboro,NC,27455
443191056,Bob Schmidt,1 Mobay Road,,Pittsburgh,PA,15205
999267282,Hank Robert Goradesky,10440 North Central,972-583-2312,Dallas,TX,75231
999992726,Henry Goradesky,10440 North Central,972-583-2312,Dallas,TX,75231
227668290,Jill Jackson,620 W 239th St,,Bronx,NY,
893638389,Kathryn Jackson,5541 Simpson Avenue,609-398-3230,Ocean City,NJ,8226
783563829,Kay Jackson,5541 Simpson Ave,609-398-3230,Ocean City,NJ,8226
452735829,Marge Brien,14 Horatio St,2127279755,New York,NY,10014
174781467,Peggy Brien,14 Horatio Street,,New York,NY,10014
274781497,Peggy Brien,475 Water St,,,,23704
443171056,Teresa Brown,,,,,
872536002,Teresa John Brown,3750 Monroe Avenue,7163816000,Pittsford,NY,14534
443171056,Terri Alfred Brown,3750 Monroe Avenue,,Pittsford,NY,14534
443171156,Terri Alfred Brown,5541 Simpson Avenue,,Ocean City,NJ,8226
234563784,R Shmidt,1 Mobay Road,4127772439,Pittsburgh,PA,15205
111111111,Robert Schmidt,1 Mobay Road,,Pittsburgh,PA,15205
575628531,Robert Simpson,655 Landau Drive,651-232-3232,Woodbury,MN,
575628531,Robert Simpson,655 Landau Dr,,Woodbury,MN,55125
